epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11547,1.00326,0.93363,1.34406,0.83938,0.52172,0.59602,0.40673,1.36965,2.57482,1.52301,0.005842,0.005842,0.005842
44,11798,0.98104,0.90839,1.33398,0.8076,0.53209,0.60032,0.41357,1.35373,2.58247,1.50825,0.005743,0.005743,0.005743
45,12048.9,0.99077,0.92109,1.33554,0.78664,0.54933,0.60234,0.41177,1.36948,2.51143,1.51806,0.005644,0.005644,0.005644
46,12300,0.99073,0.91698,1.33582,0.83096,0.53186,0.60458,0.41372,1.36668,2.47235,1.51694,0.005545,0.005545,0.005545
47,12550.1,0.97801,0.89911,1.32656,0.8502,0.52125,0.59381,0.40872,1.36771,2.56684,1.50792,0.005446,0.005446,0.005446
48,12800.7,0.98435,0.89736,1.32789,0.78743,0.53722,0.59979,0.4129,1.33919,2.73649,1.48924,0.005347,0.005347,0.005347
49,13051.1,0.97271,0.89583,1.32374,0.78012,0.54627,0.59973,0.41387,1.34075,2.67136,1.49418,0.005248,0.005248,0.005248
50,13301.4,0.97256,0.88955,1.32187,0.80082,0.54462,0.59888,0.41223,1.33943,2.72594,1.5025,0.005149,0.005149,0.005149
51,13551.3,0.96393,0.876,1.31982,0.78605,0.5503,0.60081,0.41064,1.34468,2.62149,1.49643,0.00505,0.00505,0.00505
52,13802,0.96144,0.87833,1.31753,0.80649,0.54583,0.60245,0.41662,1.34044,2.82415,1.49103,0.004951,0.004951,0.004951
53,14053.3,0.95293,0.86697,1.30848,0.79036,0.55409,0.60921,0.41808,1.34203,2.64943,1.49278,0.004852,0.004852,0.004852
54,14304.6,0.94791,0.8537,1.30747,0.81095,0.55327,0.60251,0.41451,1.32986,2.57817,1.49128,0.004753,0.004753,0.004753
55,14555.8,0.95797,0.85563,1.31654,0.82664,0.54823,0.60522,0.41694,1.33337,2.65094,1.48845,0.004654,0.004654,0.004654
56,14807.1,0.95614,0.85129,1.30974,0.81328,0.54984,0.60662,0.41914,1.34245,2.6977,1.49446,0.004555,0.004555,0.004555
57,15058.3,0.9475,0.84872,1.30305,0.80934,0.53184,0.60018,0.41782,1.34333,2.57442,1.49789,0.004456,0.004456,0.004456
58,15309,0.95239,0.85035,1.30446,0.78629,0.55853,0.60696,0.41801,1.34256,2.4339,1.48976,0.004357,0.004357,0.004357
59,15561,0.94057,0.83465,1.29555,0.81102,0.55947,0.60772,0.41581,1.35495,2.45745,1.50068,0.004258,0.004258,0.004258
60,15811.3,0.93634,0.82995,1.29837,0.80501,0.56437,0.61374,0.42035,1.35388,2.51959,1.50508,0.004159,0.004159,0.004159
61,16062.6,0.93461,0.82159,1.29221,0.81348,0.56562,0.61317,0.42055,1.34154,2.41649,1.49688,0.00406,0.00406,0.00406
62,16313.6,0.92244,0.812,1.28819,0.81283,0.55716,0.61119,0.42013,1.34027,2.32914,1.495,0.003961,0.003961,0.003961
63,16563.7,0.92801,0.81061,1.29203,0.82742,0.55477,0.60818,0.42306,1.33499,2.31986,1.49578,0.003862,0.003862,0.003862
64,16813.9,0.91614,0.79993,1.27891,0.81908,0.55763,0.61054,0.42452,1.33081,2.4493,1.49645,0.003763,0.003763,0.003763
65,17063.8,0.91883,0.80675,1.28687,0.81301,0.56202,0.6077,0.42303,1.3404,2.52923,1.49982,0.003664,0.003664,0.003664
66,17315.3,0.91421,0.79771,1.27881,0.79998,0.5676,0.60513,0.41985,1.34155,2.6012,1.50059,0.003565,0.003565,0.003565
67,17565.3,0.91454,0.79161,1.27882,0.81984,0.55433,0.60383,0.41659,1.34385,2.59262,1.50254,0.003466,0.003466,0.003466
68,17815.2,0.90587,0.78466,1.27447,0.83055,0.54809,0.60587,0.41955,1.34492,2.57107,1.50437,0.003367,0.003367,0.003367
69,18066,0.91162,0.79255,1.275,0.81824,0.55424,0.60619,0.4205,1.35331,2.57963,1.51076,0.003268,0.003268,0.003268
70,18316.6,0.90488,0.78798,1.27115,0.81929,0.55854,0.60935,0.42241,1.35477,2.59847,1.51267,0.003169,0.003169,0.003169
71,18566.9,0.89448,0.77591,1.26675,0.80717,0.56176,0.60907,0.42253,1.35323,2.56124,1.51067,0.00307,0.00307,0.00307
72,18818.1,0.88967,0.76421,1.26672,0.79998,0.56636,0.60994,0.42233,1.34944,2.50142,1.51081,0.002971,0.002971,0.002971
73,19068.9,0.88841,0.75649,1.26361,0.82438,0.56179,0.61117,0.42272,1.34616,2.47585,1.50769,0.002872,0.002872,0.002872
74,19319.5,0.89143,0.7544,1.26328,0.79874,0.56894,0.61071,0.42346,1.34608,2.41301,1.50807,0.002773,0.002773,0.002773
75,19570.7,0.87615,0.75196,1.25392,0.81932,0.56489,0.61373,0.42269,1.34521,2.38689,1.50658,0.002674,0.002674,0.002674
76,19822.1,0.88266,0.74604,1.26221,0.81591,0.567,0.61313,0.42268,1.34185,2.40117,1.50548,0.002575,0.002575,0.002575
77,20046.4,0.87257,0.73796,1.2549,0.81182,0.56648,0.61222,0.42189,1.34272,2.40949,1.50604,0.002476,0.002476,0.002476
78,20271.5,0.87923,0.74659,1.25866,0.81732,0.55904,0.61224,0.42239,1.34415,2.44181,1.50669,0.002377,0.002377,0.002377
79,20520.3,0.86786,0.73907,1.24805,0.811,0.56178,0.61232,0.42265,1.34545,2.43827,1.5073,0.002278,0.002278,0.002278
80,20752.8,0.86209,0.73335,1.24465,0.81427,0.5599,0.61242,0.42342,1.34663,2.44659,1.50671,0.002179,0.002179,0.002179
81,20999.3,0.86572,0.71934,1.24703,0.80211,0.56066,0.60943,0.42295,1.34536,2.43506,1.50786,0.00208,0.00208,0.00208
82,21253.8,0.86071,0.7209,1.23987,0.80479,0.55941,0.60958,0.42251,1.34667,2.43708,1.50974,0.001981,0.001981,0.001981
83,21499.2,0.8556,0.72185,1.24093,0.80293,0.56053,0.60973,0.42216,1.34822,2.43951,1.51065,0.001882,0.001882,0.001882
84,21755.1,0.85312,0.7145,1.23695,0.80481,0.5607,0.6096,0.42149,1.34856,2.433,1.51068,0.001783,0.001783,0.001783
85,22015.8,0.8512,0.70357,1.23603,0.81407,0.55574,0.60917,0.42177,1.3503,2.44177,1.51352,0.001684,0.001684,0.001684
86,22263.9,0.85188,0.70617,1.2376,0.82297,0.55582,0.60998,0.42252,1.34912,2.43484,1.51198,0.001585,0.001585,0.001585
87,22515.1,0.84239,0.69876,1.23389,0.80413,0.56264,0.61065,0.42196,1.35068,2.42117,1.51464,0.001486,0.001486,0.001486
88,22763.1,0.83965,0.69426,1.22749,0.80926,0.5597,0.61061,0.42264,1.35025,2.41707,1.51501,0.001387,0.001387,0.001387
89,23009.3,0.83436,0.68799,1.22491,0.81024,0.56094,0.61128,0.42301,1.35257,2.41572,1.51734,0.001288,0.001288,0.001288
90,23256.8,0.83114,0.68221,1.22361,0.77922,0.57483,0.61081,0.42298,1.35469,2.41463,1.52022,0.001189,0.001189,0.001189
91,23542.8,0.73815,0.47263,1.20264,0.76666,0.57588,0.60991,0.4235,1.35477,2.40663,1.52021,0.00109,0.00109,0.00109
92,23786.9,0.72133,0.45159,1.19192,0.76377,0.57588,0.60958,0.4233,1.3555,2.40441,1.52106,0.000991,0.000991,0.000991
93,24035.6,0.7107,0.4404,1.18572,0.80144,0.56271,0.6085,0.4235,1.35388,2.38998,1.52095,0.000892,0.000892,0.000892
94,24279,0.70036,0.4314,1.17735,0.79929,0.56197,0.60885,0.4232,1.35475,2.38775,1.5222,0.000793,0.000793,0.000793
95,24527.4,0.69804,0.42653,1.1763,0.79638,0.56233,0.60898,0.42303,1.3548,2.38068,1.52267,0.000694,0.000694,0.000694
96,24771.5,0.68988,0.42397,1.16802,0.78816,0.56401,0.60855,0.42202,1.3547,2.3768,1.52312,0.000595,0.000595,0.000595
97,25031.1,0.6864,0.418,1.16544,0.83247,0.55302,0.60804,0.42189,1.3537,2.37677,1.52296,0.000496,0.000496,0.000496
98,25291,0.68035,0.41179,1.16089,0.83017,0.55291,0.6084,0.42168,1.35398,2.36814,1.52324,0.000397,0.000397,0.000397
99,25549.4,0.6704,0.4085,1.15409,0.82467,0.55547,0.60838,0.42204,1.35323,2.36126,1.52348,0.000298,0.000298,0.000298
100,25800.2,0.67003,0.40305,1.15762,0.82256,0.55472,0.60844,0.422,1.35495,2.35202,1.52536,0.000199,0.000199,0.000199
