                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3483,                 1.7901,                 1.6399,                0.84277,                0.34986,                0.40397,                0.22554,                 1.5607,                 3.1532,                 1.7982,              0.0033284,              0.0033284,              0.0033284
                      2,                 1.2565,                 1.3697,                 1.5599,                0.49043,                0.30121,                0.34404,                0.17548,                 1.7908,                 3.9779,                 2.0614,              0.0065958,              0.0065958,              0.0065958
